Epoch 1/8 — train_loss: 0.4422, val_auc: 0.9422
Epoch 2/8 — train_loss: 0.3038, val_auc: 0.9555
Epoch 3/8 — train_loss: 0.2659, val_auc: 0.9603
Epoch 4/8 — train_loss: 0.2241, val_auc: 0.9658
Epoch 5/8 — train_loss: 0.2124, val_auc: 0.9696
Epoch 6/8 — train_loss: 0.2000, val_auc: 0.9701
Epoch 7/8 — train_loss: 0.1661, val_auc: 0.9705
Epoch 8/8 — train_loss: 0.1755, val_auc: 0.9708

XGBoost Test AUC: 0.9687407407407408
XGBoost Test Acc: 0.9090909090909091
XGBoost Test Prec: 0.910958904109589
XGBoost Test Rec: 0.8866666666666667
XGBoost Test F1: 0.8986486486486487

AUC: 0.9687407407407408
Acc: 0.9090909090909091
Prec: 0.910958904109589
Rec: 0.8866666666666667
F1: 0.8986486486486487
[0]     test-auc:0.93456
[1]     test-auc:0.95160
[2]     test-auc:0.96297
[3]     test-auc:0.96313
[4]     test-auc:0.96340
[5]     test-auc:0.96281
[6]     test-auc:0.96377
[7]     test-auc:0.96301
[8]     test-auc:0.96190
[9]     test-auc:0.96268
[10]    test-auc:0.96297
[11]    test-auc:0.96288
[12]    test-auc:0.96246
[13]    test-auc:0.96254
[14]    test-auc:0.96420
[15]    test-auc:0.96364
[16]    test-auc:0.96362
[17]    test-auc:0.96373
[18]    test-auc:0.96390
[19]    test-auc:0.96355
[20]    test-auc:0.96375
[21]    test-auc:0.96382
[22]    test-auc:0.96349
[23]    test-auc:0.96355
[24]    test-auc:0.96338
[25]    test-auc:0.96472
[26]    test-auc:0.96487
[27]    test-auc:0.96461
[28]    test-auc:0.96440
[29]    test-auc:0.96440
[30]    test-auc:0.96446
[31]    test-auc:0.96444
[32]    test-auc:0.96424
[33]    test-auc:0.96396
[34]    test-auc:0.96394
[35]    test-auc:0.96407
[36]    test-auc:0.96407
[37]    test-auc:0.96377
[38]    test-auc:0.96393
[39]    test-auc:0.96387
[40]    test-auc:0.96409
[41]    test-auc:0.96400
[42]    test-auc:0.96412
[43]    test-auc:0.96402
[44]    test-auc:0.96415
[45]    test-auc:0.96417
[46]    test-auc:0.96492
[47]    test-auc:0.96501
[48]    test-auc:0.96586
[49]    test-auc:0.96584
[50]    test-auc:0.96599
[51]    test-auc:0.96598
[52]    test-auc:0.96577
[53]    test-auc:0.96587
[54]    test-auc:0.96575
[55]    test-auc:0.96590
[56]    test-auc:0.96598
[57]    test-auc:0.96600
[58]    test-auc:0.96620
[59]    test-auc:0.96606
[60]    test-auc:0.96614
[61]    test-auc:0.96622
[62]    test-auc:0.96607
[63]    test-auc:0.96531
[64]    test-auc:0.96544
[65]    test-auc:0.96565
[66]    test-auc:0.96548
[67]    test-auc:0.96563
[68]    test-auc:0.96575
[69]    test-auc:0.96597
[70]    test-auc:0.96738
[71]    test-auc:0.96742
[72]    test-auc:0.96752
[73]    test-auc:0.96749
[74]    test-auc:0.96758
[75]    test-auc:0.96739
[76]    test-auc:0.96725
[77]    test-auc:0.96717
[78]    test-auc:0.96729
[79]    test-auc:0.96737
[80]    test-auc:0.96811
[81]    test-auc:0.96830
[82]    test-auc:0.96825
[83]    test-auc:0.96802
[84]    test-auc:0.96802
[85]    test-auc:0.96817
[86]    test-auc:0.96835
[87]    test-auc:0.96833
[88]    test-auc:0.96831
[89]    test-auc:0.96828
[90]    test-auc:0.96829
[91]    test-auc:0.96846
[92]    test-auc:0.96851
[93]    test-auc:0.96858
[94]    test-auc:0.96856
[95]    test-auc:0.96849
[96]    test-auc:0.96859
[97]    test-auc:0.96860
[98]    test-auc:0.96868
[99]    test-auc:0.96873
[100]   test-auc:0.96871
[101]   test-auc:0.96866
[102]   test-auc:0.96875
[103]   test-auc:0.96875
[104]   test-auc:0.96873
[105]   test-auc:0.96874
[106]   test-auc:0.96873
[107]   test-auc:0.96882
[108]   test-auc:0.96893
[109]   test-auc:0.96889
[110]   test-auc:0.96890
[111]   test-auc:0.96892
[112]   test-auc:0.96886
[113]   test-auc:0.96887
[114]   test-auc:0.96889
[115]   test-auc:0.96919
[116]   test-auc:0.96912
[117]   test-auc:0.96911
[118]   test-auc:0.96900
[119]   test-auc:0.96907
[120]   test-auc:0.96916
[121]   test-auc:0.96911
[122]   test-auc:0.96910
[123]   test-auc:0.96906
[124]   test-auc:0.96907
[125]   test-auc:0.96915
